Feature,Importance
Feature 1810,0.023429079063195492
Feature 1452,0.02204797728795691
Feature 491,0.021929314778548915
Feature 708,0.021162455164722198
Feature 489,0.01593509051884705
Feature 1367,0.013603573597474812
Feature 1645,0.012431034548866182
Feature 329,0.010299991356929526
Feature 1157,0.008823572199299494
Feature 1366,0.008675456331967727
Feature 1152,0.00855831060660721
Feature 378,0.00844608936215679
Feature 1226,0.00797667086614568
Feature 1181,0.007939675763247245
Feature 794,0.0072621922522972835
Feature 1970,0.006439972152246099
Feature 579,0.006349288559295012
Feature 1581,0.006230461861495592
Feature 191,0.0059831739037345165
Feature 1357,0.005762502734571782
Feature 875,0.005267521793802759
Feature 1097,0.00522019882748135
Feature 959,0.005211292107310678
Feature 161,0.005067083562605052
Feature 1582,0.00504726580291927
Feature 694,0.004803270579294802
Feature 888,0.004733755805126841
Feature 673,0.004670284595798842
Feature 1480,0.004429192141367947
Feature 780,0.004050401349760266
Feature 703,0.003784554844820757
Feature 935,0.003587603663184075
Feature 1855,0.0035376243751350615
Feature 1384,0.0034096876071206565
Feature 1535,0.003353824379850693
Feature 555,0.0032792636999176617
Feature 1602,0.0031091830374901917
Feature 1912,0.0029934280063239906
Feature 896,0.002914192314897522
Feature 695,0.0028865052601273174
Feature 652,0.002845100490498031
Feature 926,0.0028306160158073535
Feature 335,0.002811070986182767
Feature 1077,0.0027919875764877227
Feature 1722,0.0027572098041518524
Feature 80,0.0027514552989601946
Feature 561,0.0027314117772788056
Feature 881,0.0027139729140083432
Feature 1928,0.002672263642855352
Feature 407,0.002647491424439899
Feature 1816,0.0026067131786207958
Feature 1019,0.0025877930130330734
Feature 420,0.002547806027472781
Feature 841,0.002421525318696217
Feature 249,0.002412360101189829
Feature 747,0.0023888281907645035
Feature 1039,0.002383005428392156
Feature 1917,0.002370522785835044
Feature 1866,0.0023671662341470095
Feature 843,0.0023510124565966424
Feature 1088,0.0022759058011787947
Feature 1405,0.0022643000951916687
Feature 1224,0.0022530393175467615
Feature 94,0.0022209371577188945
Feature 1058,0.002215624701095881
Feature 1617,0.0021909152267357594
Feature 1443,0.0021893368683691223
Feature 1114,0.002147407274819719
Feature 687,0.0021212931130839196
Feature 699,0.00211814033712462
Feature 2033,0.002089085565245369
Feature 1825,0.002077941806325443
Feature 1631,0.00206941957877882
Feature 1465,0.002029137267855074
Feature 718,0.0020114622686699503
Feature 969,0.0019922302412379396
Feature 366,0.0019913860107880032
Feature 1101,0.0019897934138804344
Feature 1648,0.0019614381607241937
Feature 272,0.0019548483172544986
Feature 485,0.0019504366518697058
Feature 1199,0.0019457055582655222
Feature 1524,0.0019244518393266325
Feature 1171,0.001921643339000023
Feature 1910,0.0019109783182264166
Feature 693,0.0019046642066960053
Feature 1683,0.0018733611853268635
Feature 1951,0.0018569282706684084
Feature 1043,0.0018500887562119038
Feature 207,0.0018189535843719212
Feature 322,0.0017897094375181625
Feature 389,0.0017894229107478293
Feature 1099,0.0017844988717829887
Feature 14,0.0017681461845929954
Feature 377,0.0017545424167236426
Feature 233,0.001750013412766719
Feature 1160,0.0017459550815023912
Feature 1691,0.0017376275819222856
Feature 650,0.0017157433477058594
Feature 65,0.0016987718853031196
Feature 45,0.0016960814505876055
Feature 458,0.0016853364306908271
Feature 1536,0.0016676892293551416
Feature 766,0.0016630524616488686
Feature 2018,0.0016604805960450742
Feature 2004,0.001644039241350985
Feature 1163,0.001600772625649056
Feature 656,0.001584062172401677
Feature 1501,0.0015742811223194435
Feature 323,0.0015607619775641509
Feature 1508,0.0015569016874624126
Feature 1325,0.0015558053464907295
Feature 381,0.0015521838908245382
Feature 1754,0.0015492816455399605
Feature 1573,0.0015418574199413451
Feature 314,0.0015275526632402912
Feature 787,0.0015171376530306326
Feature 1696,0.0015147579745247958
Feature 974,0.0015144672109696803
Feature 1385,0.001505012939307448
Feature 352,0.001497754905682937
Feature 807,0.0014877227070566883
Feature 294,0.0014846905694550453
Feature 2009,0.0014779192043599672
Feature 803,0.0014712121082902417
Feature 486,0.0014580024991144387
Feature 909,0.0014575500772304594
Feature 1236,0.0014545026420297498
Feature 1745,0.0014384625431523859
Feature 1985,0.0014370290049285197
Feature 1758,0.0014237286706618646
Feature 56,0.001422321905976906
Feature 192,0.0014153718696930588
Feature 1795,0.0014025876499992353
Feature 1989,0.001388565394945069
Feature 736,0.001383922159733608
Feature 1563,0.0013756349259391519
Feature 1991,0.0013714677039908826
Feature 361,0.001362981148873934
Feature 1670,0.0013609365376078873
Feature 1066,0.0013586912244596377
Feature 1665,0.0013451193596700588
Feature 1324,0.0013319509901984943
Feature 1245,0.0013273223034667653
Feature 629,0.0013239713794815633
Feature 1984,0.0013201600233014442
Feature 471,0.0013194526860583452
Feature 184,0.0013008670380613974
Feature 544,0.0013000287003747475
Feature 1518,0.0012888732226505975
Feature 1110,0.0012853483204439786
Feature 961,0.001284418042805215
Feature 859,0.001281542838796266
Feature 235,0.0012735634029577545
Feature 950,0.0012523461210504538
Feature 1310,0.0012443388399599954
Feature 1057,0.0012440521215742887
Feature 114,0.0012383813845297693
Feature 1145,0.0012350077794772093
Feature 1905,0.0012249807024262709
Feature 1783,0.0012198271750209213
Feature 1131,0.00121461014350582
Feature 806,0.0012092220803976389
Feature 541,0.0011997618546370449
Feature 1410,0.001195645581403592
Feature 1457,0.0011886798364875721
Feature 261,0.0011803567734838493
Feature 1191,0.0011796212026428284
Feature 554,0.0011720756436532963
Feature 1712,0.0011551495963327287
Feature 1013,0.0011547646131761901
Feature 1459,0.001150956622527411
Feature 675,0.0011350106880938075
Feature 409,0.0011331747653769355
Feature 526,0.0011289338128920197
Feature 1085,0.0011248617891388593
Feature 892,0.0011192242680174692
Feature 524,0.0011185188453101895
Feature 1,0.0011170352339136783
Feature 1568,0.0011159987815676585
Feature 1993,0.0010944547427607172
Feature 297,0.0010853745982241075
Feature 1453,0.0010808496858071908
Feature 1435,0.0010756078209106954
Feature 90,0.0010740181194170942
Feature 43,0.0010689535368817824
Feature 1697,0.0010686490518934883
Feature 790,0.0010673578263745462
Feature 1348,0.001046410897923221
Feature 1391,0.0010355195291494954
Feature 1586,0.0010336554244847
Feature 283,0.0010238368858570808
Feature 1762,0.0010173953998463034
Feature 464,0.0010153529891120366
Feature 847,0.0010152533502280601
Feature 1657,0.001008395021422461
Feature 259,0.0010044787153550526
Feature 193,0.0009977529181427378
Feature 74,0.0009964532193791913
Feature 725,0.0009879122925130258
Feature 1840,0.0009814975573889566
Feature 721,0.0009771277037983201
Feature 1082,0.0009750348624462158
Feature 1791,0.0009645928495301399
Feature 1603,0.0009612713253347164
Feature 1412,0.000947440251211726
Feature 158,0.0009473801991857222
Feature 1035,0.0009428031499767112
Feature 1136,0.0009401475511755214
Feature 1644,0.0009378708597173875
Feature 1929,0.0009364787455943088
Feature 744,0.0009336803193059004
Feature 1819,0.0009336156530516718
Feature 1589,0.0009310709003109908
Feature 636,0.000930339707856098
Feature 1404,0.0009233937597659124
Feature 40,0.0009184166334176147
Feature 560,0.0009131355163634252
Feature 1356,0.0009112307669469016
Feature 1096,0.0009060719755196404
Feature 107,0.000905450097781262
Feature 1240,0.0009047249638273236
Feature 257,0.0008928979289847616
Feature 1982,0.0008866676478231313
Feature 728,0.0008839079390539977
Feature 1498,0.0008835521144739469
Feature 1208,0.0008809495989367043
Feature 1070,0.000880340100420821
Feature 690,0.0008803249552597951
Feature 412,0.0008793505493781022
Feature 1923,0.0008772403808082887
Feature 216,0.0008700487219665596
Feature 1918,0.0008687501809066001
Feature 1845,0.0008669308090332376
Feature 1197,0.000864384696625554
Feature 1028,0.0008568644059662337
Feature 922,0.0008561833729076731
Feature 1015,0.0008550672818337929
Feature 1607,0.000853890058637925
Feature 501,0.0008490477851898434
Feature 1792,0.0008474273769445658
Feature 1238,0.0008436122761069966
Feature 237,0.0008432543535283818
Feature 1416,0.0008320380482049796
Feature 350,0.0008304586652240734
Feature 1365,0.000821257464411989
Feature 692,0.0008162935599476558
Feature 745,0.0008153391846593386
Feature 41,0.0008145736755932651
Feature 87,0.0008114538195903549
Feature 562,0.000811040551637596
Feature 595,0.0008076893342903194
Feature 1266,0.0008075229576303348
Feature 1472,0.0008035081794836108
Feature 816,0.0008027498764393176
Feature 674,0.0007992951949396398
Feature 1481,0.0007951109732234355
Feature 1060,0.0007942486551221685
Feature 802,0.0007915477681032965
Feature 1482,0.0007879948264354633
Feature 1285,0.0007760383784439642
Feature 898,0.0007754664969010543
Feature 1032,0.0007736981231704311
Feature 586,0.0007735270194270721
Feature 289,0.0007720838679119839
Feature 1856,0.0007702243871651041
Feature 1779,0.00076920219411953
Feature 452,0.0007688158652016954
Feature 401,0.0007668992699683363
Feature 1550,0.0007656545806248854
Feature 1990,0.0007647915974187181
Feature 980,0.0007624833159987379
Feature 523,0.0007612625249938971
Feature 1205,0.0007583307694353921
Feature 1734,0.0007582043911550492
Feature 1106,0.0007577709294366214
Feature 1636,0.0007567314234590522
Feature 548,0.0007556132907797949
Feature 63,0.0007547018134327548
Feature 157,0.0007538782542648728
Feature 1222,0.0007475602440052645
Feature 369,0.0007470975507754377
Feature 1475,0.0007458565811154657
Feature 1934,0.0007435681055899167
Feature 1326,0.0007380439340122546
Feature 1632,0.0007367615958478787
Feature 527,0.0007362645272639047
Feature 437,0.0007349125616988948
Feature 715,0.0007348905294944414
Feature 1463,0.0007284504346558359
Feature 1911,0.000726759729622513
Feature 13,0.0007197616004640971
Feature 119,0.0007183290545011613
Feature 168,0.0007162774665826776
Feature 1978,0.0007159585699336445
Feature 558,0.0007135613525029599
Feature 342,0.0007120454881104783
Feature 31,0.0007094247895494877
Feature 1596,0.0007075497932155745
Feature 833,0.000704629174728417
Feature 1724,0.0007046136523969769
Feature 1956,0.0007041122649544316
Feature 1344,0.0007029548126629438
Feature 504,0.0007010882522165057
Feature 384,0.000695902714151009
Feature 1255,0.0006944645984554198
Feature 984,0.0006929482181884205
Feature 1915,0.0006908636498679087
Feature 147,0.0006905416236717515
Feature 739,0.0006873019935608013
Feature 83,0.0006841445179755736
Feature 25,0.0006829975792968776
Feature 2021,0.0006813243112911766
Feature 1141,0.0006810607130914854
Feature 327,0.0006795996099106383
Feature 447,0.0006750373827374942
Feature 1864,0.0006737555465660424
Feature 231,0.0006718969790777614
Feature 1963,0.0006711932901492386
Feature 1274,0.0006671887402380458
Feature 800,0.0006641927599454169
Feature 1469,0.0006639737675397285
Feature 270,0.0006622428856525004
Feature 1164,0.0006617515137558436
Feature 1604,0.000660765064860943
Feature 441,0.0006591111569273732
Feature 1801,0.0006585425149069687
Feature 1441,0.0006583461056979549
Feature 1487,0.0006576917460376215
Feature 1329,0.0006576457821938931
Feature 884,0.0006559050849087926
Feature 310,0.0006555970026276892
Feature 993,0.0006523780912674274
Feature 1862,0.0006463516717992812
Feature 753,0.0006438156178447318
Feature 609,0.0006420636323605866
Feature 1440,0.0006420021118720535
Feature 392,0.0006411914733488411
Feature 1597,0.0006357396557172709
Feature 1476,0.0006353911476706228
Feature 1904,0.0006349828820137808
Feature 1750,0.0006336030107900411
Feature 307,0.0006330954444769656
Feature 1971,0.0006328103085025341
Feature 933,0.0006297939726018412
Feature 528,0.0006288285075241631
Feature 781,0.000628163488639271
Feature 1087,0.0006257751519143492
Feature 1488,0.000625729397694029
Feature 828,0.0006250616382517882
Feature 565,0.0006225128131346955
Feature 92,0.0006224139450093416
Feature 1619,0.0006217046415796281
Feature 260,0.0006214701817815547
Feature 440,0.0006202256362657094
Feature 1252,0.0006148724235801893
Feature 713,0.0006138835034644981
Feature 130,0.000613167117367791
Feature 1981,0.0006129289091408331
Feature 465,0.0006112814783649981
Feature 1730,0.0006112091022548153
Feature 315,0.0006099671381896894
Feature 1442,0.0006089881353887468
Feature 194,0.0006089261839288733
Feature 2017,0.0006088958585688314
Feature 1455,0.0006070693102528829
Feature 1109,0.0006053814114697941
Feature 945,0.0006027490815503454
Feature 991,0.0005994850975384921
Feature 1423,0.0005992716343292941
Feature 213,0.0005990630311476413
Feature 1257,0.0005979504724761275
Feature 222,0.0005958472510742868
Feature 498,0.000594759150224004
Feature 1370,0.0005927352474049118
Feature 319,0.0005865218998459663
Feature 1560,0.0005862994105126949
Feature 1919,0.0005834536776352679
Feature 1430,0.0005788611940064525
Feature 1159,0.0005783828724162321
Feature 1842,0.0005768732402634037
Feature 1630,0.0005739622520666493
Feature 162,0.0005721492065531993
Feature 1719,0.0005717491954623085
Feature 271,0.0005708252454124164
Feature 482,0.0005692767118154548
Feature 644,0.0005689490441133518
Feature 20,0.0005676204285123813
Feature 1120,0.0005659680246497522
Feature 1138,0.0005622076505107579
Feature 1733,0.0005610475215867694
Feature 1426,0.0005607552407745408
Feature 385,0.0005604238754459935
Feature 809,0.0005601316181508134
Feature 1695,0.0005599162342505404
Feature 1914,0.0005556556799579179
Feature 786,0.0005552814628119336
Feature 1627,0.00055200441348723
Feature 789,0.0005492605540003929
Feature 1027,0.0005487348667219495
Feature 1747,0.0005479439700933239
Feature 1823,0.0005474741461217703
Feature 113,0.0005460082106941044
Feature 1297,0.0005452978836144897
Feature 1215,0.000545125436186251
Feature 726,0.00054438999316712
Feature 1946,0.0005423683167184233
Feature 1349,0.0005416419052616816
Feature 1785,0.0005400048271496936
Feature 117,0.0005382977758008233
Feature 1333,0.0005350588749336905
Feature 614,0.0005348745871378679
Feature 971,0.0005345337246831867
Feature 1567,0.0005343490227154167
Feature 1797,0.000533742919419318
Feature 1624,0.0005331505437432026
Feature 749,0.0005324289571726038
Feature 585,0.0005321505222421749
Feature 1612,0.0005317518744259368
Feature 901,0.0005292980637824968
Feature 1295,0.0005292067572901054
Feature 460,0.0005280985689259343
Feature 8,0.0005271778515074037
Feature 835,0.0005262157246637881
Feature 1507,0.0005254649194480224
Feature 1701,0.0005253634960949362
Feature 592,0.000525339874080402
Feature 844,0.0005248173382772369
Feature 1053,0.0005245893021570145
Feature 1572,0.0005244826742405666
Feature 2047,0.0005231517191291703
Feature 510,0.0005217713879591157
Feature 552,0.0005175259425733549
Feature 419,0.0005164076078852293
Feature 1765,0.000513665550713988
Feature 1879,0.0005134945958297605
Feature 1445,0.000513466556937415
Feature 2030,0.0005122685508116794
Feature 1935,0.0005091849104075078
Feature 940,0.0005056144755570994
Feature 1308,0.0005053449015676866
Feature 287,0.000505068983598581
Feature 29,0.0005049446733049832
Feature 368,0.0005049181625913022
Feature 1103,0.00050316026823558
Feature 1780,0.0005012483958473339
Feature 1056,0.0004993185744474207
Feature 211,0.0004976283827456873
Feature 1483,0.0004971425564327141
Feature 1746,0.0004970927323921553
Feature 1312,0.0004969046596883505
Feature 1930,0.0004968635444357384
Feature 1854,0.0004960830732208497
Feature 459,0.0004958128406322462
Feature 667,0.0004946007085047187
Feature 281,0.0004939074922319435
Feature 1346,0.0004937206837438251
Feature 960,0.0004928221704216754
Feature 1611,0.000492753340242436
Feature 876,0.0004927417629453462
Feature 634,0.0004920241054296573
Feature 58,0.0004909969338410064
Feature 1063,0.0004905664637370406
Feature 1249,0.0004903766180374083
Feature 1049,0.0004900878800706392
Feature 1108,0.0004892212371578281
Feature 442,0.0004888835450140393
Feature 155,0.00048706377765046034
Feature 127,0.0004860355205829039
Feature 1017,0.00048430868467654113
Feature 1863,0.00048326463133366575
Feature 177,0.0004827869958711439
Feature 943,0.0004821310780625185
Feature 569,0.00048189697436522066
Feature 511,0.00048124404435654
Feature 2046,0.00048103205023497243
Feature 798,0.0004805530880945668
Feature 831,0.00048008929526843856
Feature 589,0.0004779222018399626
Feature 849,0.0004768840554627626
Feature 1403,0.00047412663261484696
Feature 1045,0.00047194085046452645
Feature 720,0.00047161193048239733
Feature 1381,0.0004694009442865444
Feature 425,0.000469243363538372
Feature 1409,0.0004690947307534141
Feature 743,0.0004688950650175735
Feature 532,0.00046874656167990514
Feature 758,0.00046825800708811556
Feature 1162,0.0004675833098509134
Feature 1447,0.00046742253411543894
Feature 1264,0.00046737959707179606
Feature 1839,0.0004665235650271733
Feature 1569,0.0004649876815483092
Feature 103,0.0004649337870599484
Feature 1275,0.0004648427475027978
Feature 666,0.00046409469580292154
Feature 819,0.00046404058917286857
Feature 574,0.00046306534339761874
Feature 678,0.00046198636608532395
Feature 1168,0.0004619759757674389
Feature 110,0.00046072006702955104
Feature 573,0.0004571354056220937
Feature 1379,0.00045554704433742744
Feature 785,0.0004553805410345915
Feature 324,0.000455091637520879
Feature 326,0.0004545823941663459
Feature 62,0.0004529292415061802
Feature 1738,0.00045182642535989786
Feature 1516,0.0004517343385960056
Feature 2042,0.0004512387107248308
Feature 1833,0.00045091326079365777
Feature 1649,0.0004471132650881909
Feature 620,0.00044678483534347623
Feature 1742,0.00044501354247221473
Feature 1996,0.0004448317154264546
Feature 295,0.0004438497298278841
Feature 479,0.00044382943305215297
Feature 496,0.00044356663182646707
Feature 1292,0.0004433140391825922
Feature 309,0.0004424754728026928
Feature 140,0.0004423993349469086
Feature 1422,0.0004420864773011517
Feature 1418,0.00044050129449638153
Feature 1228,0.00043981956463479116
Feature 1587,0.00043861651864055185
Feature 1599,0.0004385177080674024
Feature 1468,0.00043795737515973644
Feature 1948,0.00043775148387793333
Feature 1939,0.0004355841145900656
Feature 647,0.0004349763960043607
Feature 1353,0.00043293057930230897
Feature 1808,0.000432741904956352
Feature 102,0.0004297627103859268
Feature 838,0.0004294988422089911
Feature 848,0.000429415147697639
Feature 932,0.0004288379938798887
Feature 987,0.00042767163539194627
Feature 1741,0.00042623893867986453
Feature 116,0.0004255160671735102
Feature 1217,0.0004248762621661078
Feature 1988,0.0004245577041479986
Feature 1608,0.00042434303371068695
Feature 1268,0.000422861671291716
Feature 883,0.0004228424532869151
Feature 724,0.00042178686076143056
Feature 305,0.00042171961381893224
Feature 1601,0.0004204860095490389
Feature 252,0.0004177056025965263
Feature 1542,0.0004168472675354857
Feature 341,0.0004161676345190447
Feature 1069,0.0004157399778620315
Feature 1086,0.0004152168996716705
Feature 1454,0.0004151128270829503
Feature 1232,0.0004142160193797955
Feature 1142,0.00041418380761425346
Feature 1945,0.00041383737493613733
Feature 1693,0.00041293349444112193
Feature 171,0.0004115959875472973
Feature 255,0.00040877300177184404
Feature 638,0.0004076599111748678
Feature 600,0.00040694052212112943
Feature 338,0.0004057316208845258
Feature 165,0.00040553137389615274
Feature 123,0.0004055270348541802
Feature 531,0.0004042095595388241
Feature 1908,0.0004039732043280439
Feature 1972,0.0004038310707988396
Feature 522,0.00040269575435325635
Feature 1892,0.00040227851583318454
Feature 777,0.0004016193475059465
Feature 84,0.00040050173739546754
Feature 1637,0.0004004443812237854
Feature 457,0.00040025333813547886
Feature 251,0.00040007525848383634
Feature 845,0.0003993565269848728
Feature 151,0.00039754300521608113
Feature 575,0.00039743847457149035
Feature 885,0.00039697890284168215
Feature 1313,0.00039482768607899824
Feature 268,0.0003945948340459344
Feature 1546,0.0003939536300886998
Feature 769,0.00039363578353036356
Feature 2,0.00039267074512521475
Feature 927,0.00039237965595546615
Feature 1143,0.00039220414999201685
Feature 506,0.0003918755980952737
Feature 1009,0.00039143768659722196
Feature 862,0.0003912223660785658
Feature 719,0.0003907829251597489
Feature 1022,0.0003883039012391106
Feature 1529,0.00038819101292596046
Feature 1026,0.00038810796822783396
Feature 1407,0.0003876549853847257
Feature 1718,0.0003871223294806474
Feature 448,0.00038637927560340805
Feature 653,0.00038521155525295944
Feature 623,0.0003848451965582023
Feature 890,0.00038448885549967847
Feature 879,0.00038395726522783843
Feature 1744,0.0003827809041328473
Feature 428,0.0003815940855383353
Feature 1799,0.00037896943511449006
Feature 1661,0.0003782864606441425
Feature 1279,0.00037614910337202366
Feature 1256,0.0003758592549848993
Feature 1506,0.0003758283907560634
Feature 762,0.0003757593981228055
Feature 1134,0.00037541505101280545
Feature 1998,0.0003749664686984027
Feature 438,0.00037480767454448993
Feature 1195,0.0003736048026006522
Feature 912,0.000373242482171973
Feature 138,0.0003721341395750833
Feature 200,0.0003716589653842017
Feature 1387,0.00036948613358755186
Feature 1402,0.0003693112800942854
Feature 383,0.0003684154513947199
Feature 276,0.00036819008528915547
Feature 711,0.00036792151954612694
Feature 1775,0.0003673169269672458
Feature 2007,0.00036685332348768894
Feature 1849,0.00036613946526381166
Feature 499,0.0003652527271184742
Feature 773,0.0003651950287042028
Feature 121,0.0003651407009364802
Feature 325,0.0003649378622966792
Feature 1583,0.0003648439824471003
Feature 230,0.00036473264272016283
Feature 1831,0.0003646243445952174
Feature 400,0.00036262563837983374
Feature 1375,0.00036140905035643726
Feature 446,0.00036100722589643507
Feature 878,0.0003605387022666043
Feature 2043,0.0003605170289725045
Feature 473,0.0003590283492497052
Feature 564,0.0003589182304420102
Feature 1565,0.0003579013181287063
Feature 1149,0.0003577120412286574
Feature 917,0.00035723076888939355
Feature 658,0.00035710319780144466
Feature 716,0.0003566561221833895
Feature 291,0.0003559459370872728
Feature 197,0.00035429703011349313
Feature 1564,0.00035329206385791234
Feature 1610,0.00035242058028421704
Feature 767,0.0003523889734448012
Feature 590,0.0003523681889484042
Feature 1089,0.00035234165703056867
Feature 1809,0.00035037593985805
Feature 248,0.00034967751933932757
Feature 1243,0.00034855714883221694
Feature 1592,0.00034826088160902713
Feature 490,0.0003473327278896835
Feature 1952,0.0003462811945781333
Feature 1764,0.0003462236453281816
Feature 1995,0.0003456144225887031
Feature 1677,0.0003454322424423028
Feature 1250,0.0003432778979791861
Feature 1739,0.0003430506979518033
Feature 1716,0.00034274933606481453
Feature 1401,0.0003407644285775785
Feature 81,0.0003392316124796585
Feature 598,0.0003375817758968425
Feature 333,0.0003367006830396514
Feature 1522,0.00033634414066858277
Feature 1126,0.00033526911124192617
Feature 1382,0.00033517087829537824
Feature 1176,0.00033483228129535
Feature 1832,0.000334078876261996
Feature 702,0.00033384274459892917
Feature 180,0.0003322931246425345
Feature 983,0.00033195311258882055
Feature 1146,0.0003310750513281842
Feature 1859,0.0003308447631776772
Feature 1394,0.0003307167778354264
Feature 1048,0.0003297557558590439
Feature 296,0.0003296627317272192
Feature 1135,0.0003292857680385556
Feature 1887,0.0003279545688632641
Feature 680,0.000327610957578939
Feature 1196,0.00032656137271372854
Feature 556,0.0003260809206549027
Feature 167,0.0003255648812493687
